,month,mean_rh
360,2012-01,87.3
361,2012-02,85.6
362,2012-03,87.3
363,2012-04,85.1
364,2012-05,83.1
365,2012-06,79.0
366,2012-07,81.1
367,2012-08,79.8
368,2012-09,79.7
369,2012-10,81.3
370,2012-11,85.4
371,2012-12,87.0
372,2013-01,82.1
373,2013-02,86.9
374,2013-03,80.4
375,2013-04,82.7
376,2013-05,83.1
377,2013-06,74.6
378,2013-07,79.9
379,2013-08,79.0
380,2013-09,81.3
381,2013-10,79.9
382,2013-11,84.6
383,2013-12,85.8
384,2014-01,78.5
385,2014-02,74.5
386,2014-03,76.0
387,2014-04,80.0
388,2014-05,80.2
389,2014-06,77.5
390,2014-07,78.3
391,2014-08,79.7
392,2014-09,75.6
393,2014-10,77.0
394,2014-11,82.4
395,2014-12,82.6
396,2015-01,77.6
397,2015-02,75.4
398,2015-03,75.8
399,2015-04,77.1
400,2015-05,78.9
401,2015-06,75.8
402,2015-07,74.9
403,2015-08,76.7
404,2015-09,75.0
405,2015-10,75.4
406,2015-11,79.1
407,2015-12,81.1
408,2016-01,79.6
409,2016-02,78.8
410,2016-03,74.7
411,2016-04,75.6
412,2016-05,77.4
413,2016-06,77.7
414,2016-07,77.3
415,2016-08,74.0
416,2016-09,73.9
417,2016-10,72.0
418,2016-11,77.6
419,2016-12,72.8
420,2017-01,84.8
421,2017-02,83.2
422,2017-03,82.5
423,2017-04,83.5
424,2017-05,82.8
425,2017-06,80.2
426,2017-07,79.6
427,2017-08,79.9
428,2017-09,81.0
429,2017-10,82.5
430,2017-11,86.3
431,2017-12,85.2
432,2018-01,86.6
433,2018-02,77.2
434,2018-03,78.4
435,2018-04,78.5
436,2018-05,79.0
437,2018-06,79.3
438,2018-07,77.7
439,2018-08,77.0
440,2018-09,77.1
441,2018-10,79.7
442,2018-11,83.2
443,2018-12,81.5
444,2019-01,75.6
445,2019-02,74.1
446,2019-03,72.3
447,2019-04,77.6
448,2019-05,79.2
449,2019-06,79.5
450,2019-07,75.2
451,2019-08,72.1
452,2019-09,73.0
453,2019-10,78.1
454,2019-11,79.2
455,2019-12,83.9
456,2020-01,77.9
457,2020-02,76.0
458,2020-03,75.2
459,2020-04,76.4
460,2020-05,79.1
461,2020-06,80.2
462,2020-07,78.2
463,2020-08,76.8
464,2020-09,79.0
465,2020-10,75.4
466,2020-11,81.7
467,2020-12,81.1
468,2021-01,82.6
469,2021-02,73.8
470,2021-03,76.6
471,2021-04,77.4
472,2021-05,79.3
473,2021-06,77.8
474,2021-07,76.5
475,2021-08,80.4
476,2021-09,77.3
477,2021-10,78.3
478,2021-11,81.7
479,2021-12,79.7
480,2022-01,77.4
481,2022-02,80.3
482,2022-03,79.2
483,2022-04,80.0
484,2022-05,76.5
485,2022-06,79.1
486,2022-07,76.8
487,2022-08,77.4
488,2022-09,76.9
489,2022-10,78.7
490,2022-11,79.9
491,2022-12,81.2
